,name,videoid,page_dir,file_ext,token_len
51,"It's a single frame of a fireball with a smooth, comet-like tail, implying a fast, fiery trajectory.",rowan-rees-fireball,fire,gif,28
52,"This is an animated sprite of a flame with a smooth looping animation, showing the fire flickering and rising upwards.",fireball-fire,fire,gif,26
53,"It's a pixel art torch with a flickering flame animation, likely intended for a video game.",Torch_Gif,fire,gif,22
54,"Fiery orb with crackling energy, pulsating and rotating. Seems to simulate a magical fireball or energy sphere.",fire-sphere-spell,fire,gif,26
55,"This is an animated image of a stylized, glowing flame flickering and emitting smaller particles upward, simulating a fire burning.",12af711515dda548b39fe97683f3e618,fire,gif,29
56,"This is a pixel art animation of an object descending with a fiery trail, resembling a meteor or falling explosive.",Z5r4Ro (1),fire,webp,25
57,This is a pixel art animation of a fire with flames flickering and small sparks rising.,joe-griffin-fire-animation,fire,gif,20
58,"This animation displays a looping fire explosion, with flames expanding and rising from a central point.
",fire-17,fire,gif,21
59,"The animation depicts a glowing energy ball expanding and contracting with a bright core and cyan outer glow, commonly used to represent magic or power in games.",db9d7d318004e340ab96151c30623a47,bullet,gif,32
60,"The animation depicts a glowing light that pulses and flickers, suggesting an energy burst or magic spell effect.",00ec7e42197611.57d10a237d0a9,bullet,gif,23
61,"This is an animation of a blue, comet-like object with a glowing center and trailing particles, indicating rapid motion, likely simulating flight or space travel.",eg_fireball_sprite_by_toneyhadnotjr-d7zb5fk,bullet,gif,35
62,"This image shows a glowing blue magical explosion with particles radiating outward, creating a sparkling effect.",Spiritian,bullet,gif,22
63,"The sprite sheet depicts a glowing, aqua-colored flame-like shape with a smooth animation of flickering and pulsating, suggesting a ghostly or magical essence.",Fishman-Fireball-v2-copy,bullet,gif,35
64,"This is an animation of a blue, glowing, magical energy burst. It expands and contracts with bright particles radiating outward.",dbcm9sp-22cee56b-9065-4018-a906-04e5a4181d45,bullet,gif,28
65,"This is an animation of a fiery, comet-like object with a blue and white core and a glowing yellow tail, suggesting rapid movement.",87410797cf3e6ed4d7df4d4b05136a9b,bullet,gif,30
66,"This animation depicts a glowing orb-like object moving smoothly with a trailing comet-like tail, against a dark background.",miguel-oses-fx-projectile-plasma-00-migueloses,bullet,gif,26
67,"The sprite sheet animation shows a bright, expanding light burst with fragmenting particles, simulating an explosion or a magic spell effect.",369e9ceeb279785e7a86bed68490af92,bullet,gif,28
69,"This is a looped animation of a fiery projectile moving to the right, trailing flames and leaving smoke behind.",d59cx19-428688c9-7e37-4500-8eb1-203189668f99,bullet,gif,25
70,This is a pixel art explosion animation with frames showing an expanding and fading burst of yellow and orange.,dceg9oe-2c0baeae-20a3-48d4-b7f2-6312af7c595e,explosion,gif,22
71,"The sprite sheet animation depicts a sequence of a fiery explosion transitioning into billowing dark smoke, commonly used in video game effects.",giphy (1),explosion,gif,27
72,"This is an animation of a flame flickering, with the fire's brightness and size varying to simulate burning.",b16a53b26834f0420689bfb72cf5f4b5,explosion,gif,25
73,"This is an animation of an explosion, starting from a bright center and expanding into fiery rings before fading away.",d97lofa-5445e62e-8a1b-42f6-b48f-c6fd7252ce99,explosion,gif,24
74,This is a 2D pixel art animation of a fish swimming. The animation cycles through frames showing the fish's body and tail moving side to side.,FMyNIp,explosion,gif,32
75,"This is an animation of a yellow and white object hitting a surface, creating a splash effect upon impact.",c404d6f85b798ecec06e9ccab238350a,explosion,gif,23
76,"This sprite sheet depicts an explosion animation with vibrant orange-yellow flames and dark smoke, designed by Jason Keyser.",d9fk5mh-4ce586e4-4ed6-4e17-8aa4-b724ee0705af,explosion,gif,25
77,"It's an animated explosion with fiery orange and yellow colors, starting small and expanding into a large burst before dissipating.",d43612896ed91c111a46c2965c9e7f25_w200,explosion,gif,27
78,"It's a 2D animation of a fiery explosion, expanding and then dissipating into smoke.",d8tjr80-7837c30c-989d-426d-8434-f66b06ea3376,explosion,gif,22
79,"The image appears to be a single frame from an animation sequence representing an explosion or burst effect, typically used in video games or animations.",icegif-801,explosion,gif,29
80,"This is a pixelated animation of an explosion. It progresses from a small burst to a larger, fiery bloom before dissipating.",623cdcca882db2d7efa8d32424a61d29_w200 (1),explosion,gif,30
81,"This is a simple explosion animation sprite sheet, showcasing a small fireball expanding into a larger blast, typically used in retro-style video games.",Sn++u+,explosion,gif,30
82,"This is an animated explosion effect with a central grey smoke puff and outward yellow streaks, suggesting a powerful blast.",image_processing20210614-9714-18s4gy9,explosion,gif,25
83,"The animation shows an explosion with a central bright core that expands into a fiery burst with emanating shockwaves, then fades away.",explosion-gif-3,explosion,gif,28
84,"This is a 2D explosion animation sprite sheet. It shows a sequential frame-by-frame animation of an explosion, expanding from a central point with red, orange, and yellow colors.",giphy,explosion,gif,41
85,"It's an explosion sprite with a bright central flash that expands into a fiery burst, fading with smoke.",c0da65ceb7a8adba107b174d38e7660a,explosion,gif,23
86,This is an explosion animation sprite sheet showing a sequence of images depicting a fiery blast expanding and then fading away.,Special_Effect_-_Explosion,explosion,webp,24
87,This sprite sheet animation depicts an explosion with flames expanding and then dissipating with a smooth fade-out effect.,cute-explosion-clipart-so7sjopm9f5ofrfe,explosion,gif,25
88,"This is an animated explosion with bright orange core, radiating sparks, and smoke, looping seamlessly.",explosion_01_dribbble,explosion,gif,24
89,"This animation depicts a looping fireball with swirling flames and smoke, creating an explosive visual effect, credited to Jason Keyser.",d9fk5xs-e6a13c38-92b6-4726-b81b-4d4b6216dd46,explosion,gif,28
90,It's an explosion animation sequence showing a burst of light and particles expanding then dissipating.,2342061_cf355,explosion,gif,21
91,"This is a looping animation of an expanding and glowing yellow-orange starburst effect, commonly used to represent an explosion or burst of energy in games.",d2d43bj-7fcc6bd2-3a14-464e-8999-780cd9a88d83,explosion,gif,33
92,"This is a pixel art explosion animation with a sequence showing a rapidly expanding and dissipating fireball, typically used in video games.",623cdcca882db2d7efa8d32424a61d29_w200,explosion,gif,28
93,"This is a single frame of a pixel art explosion, likely from a video game, showing a bright center with outward streaks.",cmorrow-as-pe-effect-001,explosion,gif,28
94,"This sprite sheet depicts an explosion animation, starting from a small spark and expanding into a large fiery blast before dissipating into smoke.",933419296explosion-animation-1,explosion,gif,29
95,"It's an animation of an expanding and fading explosion, depicted with orange and yellow circles that simulate a fiery blast.",2ad97b6d8912ef66ccbb992556c54266,explosion,gif,26
96,"This is a glowing orb animation with pulsating light effects, simulating a magical or energy sphere.",4b422b24490597.597ec8fd508b9,explosion,gif,23
97,"It's a single frame of an animated explosion with radial yellow and orange spikes, suggesting a quick, bright blast.",35b30196ef2b645810ea0f89ab9201e7_w200,explosion,gif,25
98,"This is an animation of a nuclear explosion, showing the mushroom cloud forming and expanding.",1f0V,explosion,gif,19
99,"The image shows an animated explosion effect with a central bright core, outward bursts of flame, and small embers or particles. Text credits ""FX by Jason Keyser"".",ec967b9266ad22b5373f7fcb564cfb74,explosion,gif,37
100,"This animation depicts an explosion with bright central flames surrounded by smoke and shockwaves, crediting ""FX by Jason Keyser.""",d9fk5v7-7a6da9c8-0db3-433a-9dbf-002c07d00607,explosion,gif,27
101,"This is an animated sequence of a nuclear explosion, showing a mushroom cloud forming and expanding in the sky.",ac7eabd26717ce9bb84ef7f9b6207c14,explosion,gif,23
102,"It's an explosion animation sequence with frames showing an expanding ball of fire and smoke, then dissipating.",d7ac4f38b77abe73165d85edf2cbdb9e_w200,explosion,gif,24
103,"This is an animated sprite of a fireball, showing a looping animation of a flaming projectile moving to the right.",explosion-gif,explosion,gif,26
104,This is an explosion sprite animation that consists of a sequence showing a fiery burst expanding and then dissipating.,DyRj,explosion,gif,24
105,"This is a single frame from a sprite sheet showing a glowing yellow and purple crescent arc, possibly representing energy or a magical attack.",tatjana-strauch-hansluther-sword-slash-animation2,sword slash,gif,28
106,The animation shows a glowing white object resembling a comet or energy projectile moving from left to right on a black background.,rbcCfh,sword slash,gif,27
107,"This is a single frame of a sprite sheet showing a glowing yellow slash, possibly representing a sword attack or swipe effect.",3265770856c8527946e0ce362ef0c221_w200,sword slash,gif,26
108,"It appears to be a static image showing a blue crescent, possibly a celestial body or an abstract design.",325813ddc1101d534d0f8eb3c980a50f_w200,sword slash,gif,40
109,"This is a looping animation of a spinning blue crystal. Its glow increases as it rotates, suggesting a luminous or magical quality.",0a5ca8304eff3687a8ab7fa57554e279_w200,sword slash,gif,29
110,"It's a green, glowing, star-shaped object with a pulsating animation, expanding and contracting rhythmically.",f2469579c3b289cd45395989dd84faf0,sword slash,gif,27
111,"This is a magical effect animation featuring a swirl of glowing, colorful light evolving into a bright flash or explosion.",708643a699f92c9f73a1cd1f81a3e3d0,sword slash,gif,24
112,"This is a looping animation of a blue, glowing comet-like object with a tail, moving in a circular motion against a dark background with circular grid lines.",70gnDj,sword slash,gif,35
113,"This sprite sheet depicts a blue energy slash animation followed by a brief spark, typically used for a special attack or power in a video game.",feb5b28027e9cbf42c1fde5c304d69dd,sword slash,gif,30
114,"It's a simple animation of a missile or projectile's flight path, with a trailing effect to simulate motion.",3n6JbPc,sword slash,gif,26
115,This isn't a sprite sheet animation. It's a single static image of a stylized crescent moon with a golden glow on a black background.,kaitlyn-wohlmuth-slashcircle,sword slash,gif,31
116,"It's an animation of a pixel art sword slashing motion, likely used in a video game, displaying a quick swipe effect.",manga-flourish,sword slash,gif,28
117,It's a looped animation of a musical clef symbol with a glowing outline that appears to be rotating and pulsating.,4096d1659e8c58bb51375133ab5f459e,sword slash,gif,28
118,"This is an animation of a light trail effect, where a glowing blue light appears to swipe across the frame, curving upwards and fading out.",OQP6,sword slash,gif,31
